nodes_touched,conv,iters,game_name,algorithm_name
8644959,0.2239341214299202,214,BigLeduc,DeepCFR
8677553,0.2239341214299202,215,BigLeduc,DeepCFR
8713166,0.2239341214299202,216,BigLeduc,DeepCFR
8745612,0.2239341214299202,217,BigLeduc,DeepCFR
8787873,0.2239341214299202,218,BigLeduc,DeepCFR
8823013,0.2239341214299202,219,BigLeduc,DeepCFR
8853927,0.2239341214299202,220,BigLeduc,DeepCFR
8887955,0.2239341214299202,221,BigLeduc,DeepCFR
8923348,0.2239341214299202,222,BigLeduc,DeepCFR
8954447,0.2239341214299202,223,BigLeduc,DeepCFR
8991540,0.2239341214299202,224,BigLeduc,DeepCFR
9026704,0.19763897359371185,225,BigLeduc,DeepCFR
9064023,0.19763897359371185,226,BigLeduc,DeepCFR
9095151,0.19763897359371185,227,BigLeduc,DeepCFR
9129577,0.19763897359371185,228,BigLeduc,DeepCFR
9164118,0.19763897359371185,229,BigLeduc,DeepCFR
9198590,0.19763897359371185,230,BigLeduc,DeepCFR
9229483,0.19763897359371185,231,BigLeduc,DeepCFR
9264250,0.19763897359371185,232,BigLeduc,DeepCFR
9301520,0.19763897359371185,233,BigLeduc,DeepCFR
9334641,0.19763897359371185,234,BigLeduc,DeepCFR
9369523,0.19763897359371185,235,BigLeduc,DeepCFR
9413098,0.19763897359371185,236,BigLeduc,DeepCFR
9453974,0.19763897359371185,237,BigLeduc,DeepCFR
9490663,0.19763897359371185,238,BigLeduc,DeepCFR
9529706,0.19763897359371185,239,BigLeduc,DeepCFR
9568071,0.18534301966428757,240,BigLeduc,DeepCFR
9601558,0.18534301966428757,241,BigLeduc,DeepCFR
9643424,0.18534301966428757,242,BigLeduc,DeepCFR
9673638,0.18534301966428757,243,BigLeduc,DeepCFR
9705102,0.18534301966428757,244,BigLeduc,DeepCFR
9741891,0.18534301966428757,245,BigLeduc,DeepCFR
9775616,0.18534301966428757,246,BigLeduc,DeepCFR
9814947,0.18534301966428757,247,BigLeduc,DeepCFR
9847945,0.18534301966428757,248,BigLeduc,DeepCFR
9883608,0.18534301966428757,249,BigLeduc,DeepCFR
9918897,0.18534301966428757,250,BigLeduc,DeepCFR
9957971,0.18534301966428757,251,BigLeduc,DeepCFR
9996848,0.18534301966428757,252,BigLeduc,DeepCFR
10035336,0.18534301966428757,253,BigLeduc,DeepCFR
10071937,0.18534301966428757,254,BigLeduc,DeepCFR
10105379,0.21325314044952393,255,BigLeduc,DeepCFR
10144128,0.21325314044952393,256,BigLeduc,DeepCFR
10183786,0.21325314044952393,257,BigLeduc,DeepCFR
10224272,0.21325314044952393,258,BigLeduc,DeepCFR
10260642,0.21325314044952393,259,BigLeduc,DeepCFR
10300114,0.21325314044952393,260,BigLeduc,DeepCFR
10334220,0.21325314044952393,261,BigLeduc,DeepCFR
10368845,0.21325314044952393,262,BigLeduc,DeepCFR
10399403,0.21325314044952393,263,BigLeduc,DeepCFR
10435384,0.21325314044952393,264,BigLeduc,DeepCFR
10472354,0.21325314044952393,265,BigLeduc,DeepCFR
10522051,0.21325314044952393,266,BigLeduc,DeepCFR
10562488,0.21325314044952393,267,BigLeduc,DeepCFR
10595128,0.21325314044952393,268,BigLeduc,DeepCFR
10635381,0.21325314044952393,269,BigLeduc,DeepCFR
10673704,0.20845456421375275,270,BigLeduc,DeepCFR
10717249,0.20845456421375275,271,BigLeduc,DeepCFR
10752441,0.20845456421375275,272,BigLeduc,DeepCFR
10790991,0.20845456421375275,273,BigLeduc,DeepCFR
10828250,0.20845456421375275,274,BigLeduc,DeepCFR
10868898,0.20845456421375275,275,BigLeduc,DeepCFR
10909026,0.20845456421375275,276,BigLeduc,DeepCFR
10941098,0.20845456421375275,277,BigLeduc,DeepCFR
10981877,0.20845456421375275,278,BigLeduc,DeepCFR
11022439,0.20845456421375275,279,BigLeduc,DeepCFR
11062688,0.20845456421375275,280,BigLeduc,DeepCFR
11108602,0.20845456421375275,281,BigLeduc,DeepCFR
11149273,0.20845456421375275,282,BigLeduc,DeepCFR
11190167,0.20845456421375275,283,BigLeduc,DeepCFR
11235983,0.20845456421375275,284,BigLeduc,DeepCFR
11275151,0.205315500497818,285,BigLeduc,DeepCFR
11318208,0.205315500497818,286,BigLeduc,DeepCFR
11349811,0.205315500497818,287,BigLeduc,DeepCFR
11394582,0.205315500497818,288,BigLeduc,DeepCFR
11435459,0.205315500497818,289,BigLeduc,DeepCFR
11480432,0.205315500497818,290,BigLeduc,DeepCFR
11522803,0.205315500497818,291,BigLeduc,DeepCFR
11558843,0.205315500497818,292,BigLeduc,DeepCFR
11594352,0.205315500497818,293,BigLeduc,DeepCFR
11633702,0.205315500497818,294,BigLeduc,DeepCFR
11685716,0.205315500497818,295,BigLeduc,DeepCFR
11744174,0.205315500497818,296,BigLeduc,DeepCFR
11803811,0.205315500497818,297,BigLeduc,DeepCFR
11859078,0.205315500497818,298,BigLeduc,DeepCFR
11893047,0.205315500497818,299,BigLeduc,DeepCFR
11944127,0.2572088688611984,300,BigLeduc,DeepCFR
11990687,0.2572088688611984,301,BigLeduc,DeepCFR
12030491,0.2572088688611984,302,BigLeduc,DeepCFR
12089521,0.2572088688611984,303,BigLeduc,DeepCFR
12129655,0.2572088688611984,304,BigLeduc,DeepCFR
12163929,0.2572088688611984,305,BigLeduc,DeepCFR
